Title,Author,Category,Sub Category
1776,David McCullough,History & Politics,
1984,George Orwell ,Fiction,
A Brief History Of Time,Stephen Hawking,Science,Physics
"A City So Grand: The Rise of an American Metropolis, Boston 1850-1900",Stephen Puleo,History & Politics,
"A Man for All Markets: From Las Vegas to Wall Street, How I Beat the Dealer and the Market",Edward O. Thorp,Personal Finance & Investing,
A Man Without a Country,Kurt Vonnegut,Misc. Non-fiction,
A Random Walk Down Wall Street,Burton G. Malkiel,Personal Finance & Investing,
A Short History of Nearly Everything,Bill Bryson,Science,
A Short History of The World,H.G. Wells,History & Politics,
A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,Misc. Non-fiction,
Abundance,"Ezra Klein, Derek Thompson ",History & Politics,
Alice in Wonderland,Lewis Carroll,Fiction,
All The Pieces Matter: The Inside Story of The Wire,Jonathan Abrams,Entertainment,Oral History
All The Rave: The Rise and Fall of Shawn Fanning's Napster,Joseph Menn,Business,Profile
All The Shah's Men: An American Coup And The Roots Of Middle East Terror,Stephen Kinzer,History & Politics,
America's Bank: The Epic Struggle to Create the Federal Reserve,Roger Lowenstein,History & Politics,
America's Bitter Pill: The Fight to Fix our Broken Healthcare System,Steven Brill,History & Politics,
Animal Farm,George Orwell ,Fiction,
Antifragile: Things that Gain from Disorder,Nassim Nicholas Taleb,Science,
Apple in China: The Capture of the World's Greatest Company,Patrick McGee,Business,Profile
Ask Gary Vee,Gary Vaynerchuk,Business,Memoir
Astrophysics for People in a Hurry,Neil Degrasse Tyson,Science,Physics
At The Edge Of Camelot: Debating Economics In Turbulent Times,Donald W. Katzner,Business,Economics
Atlas Shrugged,Ayn Rand,Fiction,
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Business,Profile
Barbarians At The Gate: The Fall Of RJR Nabisco,"Bryan Burrough, John Helyar",Business,Profile
Basketball (And Other Things),Shea Serrano,Sports,
Beginning of Infinity,David Deutsch,Science,Physics
Big Business: A Love Letter to an American Anti-Hero,Tyler Cowen,Business,Economics
Bionomics,Michael Rothschild,Business,Economics
Black Flags: The Rise of ISIS,Joby Warrick,History & Politics,
"Blood  In The Cage: Mixed Martial Arts, Pat Miletich, and the Furious Rise of the UFC",L. Jon Wertheim,Sports,
Blood And Oil: The Dangers And Consequences Of America's Growing Dependency On Importing Petroleum,Michael T. Klare,History & Politics,
Boom: Bubbles and the End of Stagnation,"Byrne Hobart, Tobias Huber ",Business,
Boomerang,Michael Lewis,Business,
Brave New World,Aldous Huxley,Fiction,
Breakneck: China's Quest to Engineer the Future,Dan Wang,History & Politics,
Bringing Down The House: The Inside Story Of Six M.I.T. Students Who Took Vegas For Millions,Ben Mezrich,Entertainment,
Built To Last,Jim Collins,Business,
Capital Volume I,Karl Marx,Business,Economics
Charlie Munger: The Complete Investor,Tren Griffin,Personal Finance & Investing,Profile
Chip War: The Fight for the World's Most Critical Technology,Chris Miller,Business,
Chipping: The New Stock Market Method For Surviving Turbulence And Hitting A Hole-In-One,Harlan D. Platt,Personal Finance & Investing,
Collapse: How Societies Choose to Fail or Succeed: Revised Edition,Jared Diamond,History & Politics,
Confessions Of An Economics Hit Man,John Perkins,History & Politics,
Consider the Lobster and Other Essays,David Foster Wallace,Misc. Non-fiction,
Contours of Descent: U.S. Economic Fractures and the Landscape of Global Austerity,Robert Polin,Business,Economics
Death of a Salesman,Arthur Miller,Fiction,
Death to the BCS: The Definitive Case Against The Bowl Championship Series,"Dan Wetzel, Josh Peter, Jeff Passan",Sports,
Decoded,Jay-Z,Entertainment,
Deep Tech,Eric Redmond,Science,
"Delivering Happiness: A Path to Profits, Passion and Purpose",Tony Hsieh,Business,Memoir
Democracy in America,Alexis De Tocqueville,History & Politics,
Destined For War: Can America and China Escape Thucydides's Trap?,Graham Allison,History & Politics,
Devil Take the Hindmost: A History of Financial Speculation,Edward Chancellor,Personal Finance & Investing,
Diamond Dollars: The Economics of Winning in Baseball,Vince Gennard,Sports,
Die With Zero: Getting All You Can from Your Money and Your Life,Bill Perkins,Business,Memoir
Do Androids Dream of Electric Sheep?,Philip K. Dick ,Fiction,
Dreamstate: A Conspiracy Theory ,Jed McKenna,Personal Exploration & Skills,
E.A.R.L.: The Autobiography of DMX,Smokey Fontaine,Entertainment,Memoir
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,Business,Profile
"Every Day Is Sunday: How Jerry Jones, Robert Kraft, and Roger Goodell Turned the NFL into a Cultural & Economic Juggernaut",Ken Belson,Sports,
Exhalation: Stories,Ted Chiang,Fiction,
Extraordinary Popular Delusions And The Madness Of Crowds,Charles MacKay,Business,Economics
"Fair Pay: How To Get a Raise, Close the Wage Gap, and Build Stronger Businesses",David Buckmaster,Business,
Fear And Loathing On The Campaign Trail '72,Hunter S. Thompson,History & Politics,Memoir
Flash Boys: A Wall Street Revolt,Michael Lewis,Business,Profile
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,Science,
Foundation,Isaac Asimov,Fiction,
Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything,"Steven D. Levitt, Stephen J. Dubner",Business,Economics
Gambler: Secrets from a Life at Risk,Billy Walters,Sports,Memoir
"Gambling Man: The Secret Story of the World's Greatest Disruptor, Masayoshi Son",Lionel Barber,Business,Profile
Genentech: The Beginnings of Biotech,Sally Smith Hughes ,Business,Profile
Going Bigtime: The Spectacular Rise of Umass Basketball,Marty Dobrow,Sports,
Good To Great,Jim Collins,Business,
Got Fight? The 50 Zen Principles Of Hand-To-Face Combat,Forrest Griffin,Sports,
Grantland: Talk Nerdy To Me,n/a,Sports,
Grantland: Volume 1,n/a,Sports,
Gridiron Genius,Michael Lombardi,Sports,Profile
"Griftopia: Bubble Machines, Vampire Squids, and the Long Con That is Breaking America",Matt Taibbi,History & Politics,
"Guns, Germs, And Steel",Jared Diamond,History & Politics,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,History & Politics,Memoir
Hooked: How TO Build Habit-Forming Products,Nir Eyal,Science,Psychology
House of Huawei: The Secret History of China's Most Powerful Company,Eva Dou,Business,Profile
House Of Lies: How Management Consultants Steal Your Watch And Then Tell You The Time,Martin Kihn,Business,Memoir
How Adam Smith Can Change Your Life?,Russ Roberts,Business,Economics
How the World Works,"Noam Chomsky, David Barsamian",History & Politics,
How to Change Your Mind,Michael Pollan,Science,Chemistry
How To Stop Worrying and Start Living,Dale Carnegie,Personal Exploration & Skills,
"If Anyone Builds It, Everyone Dies: Why Superhuman AI Would Kill Us All","Eliezer Yudkowsky, Nate Soares",Science,
Immoderate Greatness: Why Civilizations Fail,William Ophuls,History & Politics,
Inbound Marketing,"Brian Halligan, Dharmesh Shah",Personal Exploration & Skills,
Industrial Society and Its Future,Theodore Kaczynski,Memoir,
